23,26.4,58.3,12,132,"1,080",12.0,24,18,42,22,2,2,12,0,20.7,19.1,13.1,32.3,236,523,2.00,1.50,3.50,1.83,3.33,1.73,1.10,2.82,1.59,2.69
23,28.4,53.6,12,132,"1,080",12.0,15,11,26,15,0,0,20,1,10.7,10.7,8.5,19.2,167,434,1.25,0.92,2.17,1.25,2.17,0.89,0.71,1.60,0.89,1.60
24,25.7,52.7,12,132,"1,080",12.0,19,12,31,17,2,3,30,0,17.1,14.8,9.8,24.6,226,463,1.58,1.00,2.58,1.42,2.42,1.43,0.82,2.25,1.23,2.05
21,25.4,42.8,12,132,"1,080",12.0,18,8,26,14,4,6,25,0,18.3,13.6,10.3,23.9,152,301,1.50,0.67,2.17,1.17,1.83,1.52,0.86,2.38,1.13,1.99
25,26.0,50.1,12,132,"1,080",12.0,19,12,31,17,2,3,32,0,17.8,15.5,12.1,27.7,224,417,1.58,1.00,2.58,1.42,2.42,1.48,1.01,2.50,1.29,2.31
23,27.7,39.3,12,132,"1,080",12.0,14,11,25,14,0,0,20,1,8.6,8.6,6.7,15.2,109,280,1.17,0.92,2.08,1.17,2.08,0.71,0.56,1.27,0.71,1.27
25,24.6,58.9,12,132,"1,080",12.0,23,17,40,22,1,1,26,3,22.1,21.3,17.7,39.0,248,495,1.92,1.42,3.33,1.83,3.25,1.84,1.48,3.32,1.77,3.25
22,26.9,42.8,12,132,"1,080",12.0,15,8,23,13,2,2,22,0,20.2,18.7,13.4,32.1,149,380,1.25,0.67,1.92,1.08,1.75,1.69,1.11,2.80,1.56,2.68
19,28.6,44.0,12,132,"1,080",12.0,13,10,23,12,1,1,26,1,15.0,14.2,11.4,25.6,176,379,1.08,0.83,1.92,1.00,1.83,1.25,0.95,2.20,1.18,2.13
23,28.3,50.8,12,132,"1,080",12.0,10,7,17,10,0,0,24,0,12.8,12.8,9.7,22.6,240,432,0.83,0.58,1.42,0.83,1.42,1.07,0.81,1.88,1.07,1.88
22,27.0,48.2,12,132,"1,080",12.0,11,4,15,10,1,1,21,0,14.3,13.6,9.8,23.5,183,381,0.92,0.33,1.25,0.83,1.17,1.20,0.82,2.02,1.14,1.96
22,27.0,61.6,12,132,"1,080",12.0,18,12,30,17,1,1,25,0,19.6,18.8,15.4,34.2,293,635,1.50,1.00,2.50,1.42,2.42,1.63,1.28,2.91,1.57,2.85
23,25.6,57.3,12,132,"1,080",12.0,22,19,41,22,0,1,21,0,21.8,21.0,18.6,39.7,320,479,1.83,1.58,3.42,1.83,3.42,1.82,1.55,3.37,1.75,3.30
20,26.5,52.0,12,132,"1,080",12.0,17,13,30,16,1,3,16,1,19.9,17.5,13.5,31.0,224,490,1.42,1.08,2.50,1.33,2.42,1.66,1.12,2.78,1.46,2.58
23,28.1,49.7,12,132,"1,080",12.0,13,7,20,12,1,1,15,2,15.1,14.3,11.7,26.0,193,538,1.08,0.58,1.67,1.00,1.58,1.26,0.97,2.23,1.19,2.16
25,26.5,50.3,12,132,"1,080",12.0,13,6,19,12,1,1,20,0,15.1,14.3,10.9,25.1,202,510,1.08,0.50,1.58,1.00,1.50,1.26,0.91,2.16,1.19,2.10
23,25.8,43.3,12,132,"1,080",12.0,13,9,22,12,1,1,22,1,10.4,9.7,7.0,16.7,150,354,1.08,0.75,1.83,1.00,1.75,0.87,0.58,1.46,0.81,1.39
20,25.9,52.8,12,132,"1,080",12.0,19,17,36,19,0,0,29,0,11.1,11.1,8.6,19.6,210,412,1.58,1.42,3.00,1.58,3.00,0.92,0.71,1.64,0.92,1.64
25,27.2,44.2,12,132,"1,080",12.0,14,8,22,13,1,1,19,1,13.0,12.2,7.5,19.6,130,355,1.17,0.67,1.83,1.08,1.75,1.08,0.62,1.70,1.01,1.64
24,26.8,47.3,12,132,"1,080",12.0,6,4,10,5,1,1,22,2,11.4,10.6,6.9,17.6,170,362,0.50,0.33,0.83,0.42,0.75,0.95,0.58,1.53,0.89,1.47
